stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
ARR:10000030,10000030,"Groningen, Hoofdstation",53.211555,6.56424,0,stoparea:ARR:GnBus,,1,B,
ARR:10000031,10000031,"Groningen, Hoofdstation",53.211555,6.56424,0,stoparea:ARR:GnBus,,0,A,
ARR:10001000,10001000,"Groningen, Hoofdstation",53.21126,6.565953,0,stoparea:ARR:GnBus,,0,L1,
ARR:10001110,10001110,"Groningen, Hoofdstation",53.211337,6.566389,0,stoparea:ARR:GnBus,,0,M,
ARR:10001143,10001143,"Groningen, Hoofdstation",53.211317,6.566508,0,stoparea:ARR:GnBus,,0,O,
ARR:10002010,10002010,"Groningen, P+R Zernike",53.244494,6.530396,0,stoparea:ARR:GnZern,,0,F,
ARR:10002011,10002011,"Groningen, P+R Zernike",53.244494,6.530396,0,stoparea:ARR:GnZern,,0,F,
ARR:10003330,10003330,"Groningen, v Ketwich Verschuurbrug",53.19323,6.564444,0,stoparea:ARR:GnKetw,,0,,
ARR:10003340,10003340,"Groningen, v Ketwich Verschuurbrug",53.192321,6.563716,0,stoparea:ARR:GnKetw,,0,,
ARR:10004780,10004780,"Groningen, Verzetsstrijderslaan",53.209421,6.549961,0,stoparea:ARR:GnVsLn,,1,,
ARR:10006090,10006090,"Groningen, Zonneln/Winkelc P'poel",53.229151,6.542929,0,stoparea:ARR:GnPdwc,,1,,
ARR:10006270,10006270,"Groningen, Zonneln/de Trefkoel",53.231094,6.541813,0,,,1,,
ARR:10006310,10006310,"Groningen, Zonneln/Kometenstraat",53.234368,6.539624,0,,,0,,
ARR:10006410,10006410,"Groningen, Nijenborgh",53.24002,6.53591,0,,,0,,
ARR:10006420,10006420,"Groningen, Nijenborgh",53.239837,6.536235,0,,,0,,
ARR:10006450,10006450,"Groningen, Crematoriumlaan",53.23668,6.538442,0,stoparea:ARR:GnCrem,,0,,
ARR:10006460,10006460,"Groningen, Crematoriumlaan",53.236611,6.538096,0,stoparea:ARR:GnCrem,,0,,
ARR:10006540,10006540,"Groningen, Zernikeplein",53.241396,6.533924,0,stoparea:ARR:GnZer1,,0,,
ARR:10006900,10006900,"Groningen, Zernikeplein",53.241226,6.53383,0,stoparea:ARR:GnZer1,,0,,
ARR:10120510,10120510,"Hoogkerk, Johan van Zwedenlaan",53.201478,6.513141,0,stoparea:ARR:HkkJvZ,,0,,
ARR:10125851,10125851,"Hoogkerk, P+ R Hoogkerk",53.197761,6.513717,0,stoparea:ARR:HkkP+R,,1,D,
ARR:10125860,10125860,"Hoogkerk, P+ R Hoogkerk",53.197761,6.513717,0,stoparea:ARR:HgkTra,,1,D,
ARR:10125881,10125881,"Hoogkerk, P+ R Hoogkerk",53.197467,6.513455,0,stoparea:ARR:HkkP+R,,1,F,
ARR:10380100,10380100,"Lauwersoog, Dorp",53.405107,6.212071,0,stoparea:ARR:LwoDor,,1,,
ARR:10380110,10380110,"Lauwersoog, Dorp",53.405808,6.212055,0,stoparea:ARR:LwoDor,,1,,
