stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
CXX:11010020,11010020,"Antwerpen, Kempenstraat",51.230564,4.413488,0,stoparea:CXX:antnoo,,,,
CXX:11010021,11010021,"Antwerpen, Kempenstraat",51.231745,4.413878,0,stoparea:CXX:antnoo,,,,
CXX:11010100,11010100,"Antwerpen, Metrostation Halewijnlaan",51.220595,4.379731,0,stoparea:CXX:anthal,,,,
CXX:11010110,11010110,"Antwerpen, Metrostation Halewijnlaan",51.220595,4.379731,0,stoparea:CXX:anthal,,,,
CXX:16000010,16000010,"Meppel, Station",52.691759,6.197307,0,stoparea:CXX:mplns,,0,A,
CXX:16000160,16000160,"Meppel, Hugo de Grootstraat",52.701914,6.186739,0,stoparea:CXX:mplhug,,1,,
CXX:16000170,16000170,"Meppel, Hugo de Grootstraat",52.701805,6.187032,0,stoparea:CXX:mplhug,,,,
CXX:16000180,16000180,"Meppel, Steenwijkerstraatweg",52.703397,6.182786,0,stoparea:CXX:mplste,,0,,
CXX:16000190,16000190,"Meppel, Steenwijkerstraatweg",52.703218,6.182664,0,stoparea:CXX:mplste,,0,,
CXX:16000600,16000600,"Meppel, Burgem. Knopperslaan",52.698364,6.197414,0,stoparea:CXX:mplbur,,0,,
CXX:16000610,16000610,"Meppel, Burgem. Knopperslaan",52.699059,6.197013,0,stoparea:CXX:mplbur,,0,,
CXX:16005000,16005000,"Meppel, Station",52.691391,6.197211,0,stoparea:CXX:mplns,,,,
CXX:16100010,16100010,"Nijeveen, Perceel 3",52.72826,6.164451,0,stoparea:CXX:nijpe3,,0,,
CXX:16100020,16100020,"Nijeveen, Perceel 3",52.728106,6.164655,0,stoparea:CXX:nijpe3,,0,,
CXX:16100030,16100030,"Kolderveen, Perceel 56",52.723503,6.155159,0,stoparea:CXX:wnvp56,,0,,
CXX:16100040,16100040,"Kolderveen, Perceel 56",52.72366,6.155888,0,stoparea:CXX:wnvp56,,0,,
CXX:16100050,16100050,"Kolderveen, Thijs van Urklaan",52.721757,6.150008,0,,,0,,
CXX:16100060,16100060,"Kolderveen, Thijs van Urklaan",52.721666,6.150198,0,,,0,,
CXX:16180050,16180050,"Staphorst, Redder",52.65397,6.231799,0,stoparea:CXX:sthred,,0,,
CXX:16180060,16180060,"Staphorst, Redder",52.653844,6.231855,0,stoparea:CXX:sthred,,0,,
CXX:16180070,16180070,"Staphorst, Reggersweg",52.651182,6.221903,0,,,0,,
CXX:16180080,16180080,"Staphorst, Reggersweg",52.651073,6.222019,0,,,0,,
CXX:16180100,16180100,"Staphorst, Vlakkenweg",52.6389,6.193984,0,stoparea:CXX:sthvla,,0,,
CXX:16180110,16180110,"Staphorst, Vlakkenweg",52.638645,6.193211,0,stoparea:CXX:sthvla,,0,,
CXX:16180120,16180120,"Staphorst, Geerligsland",52.640817,6.197506,0,,,0,,
CXX:16180130,16180130,"Staphorst, Geerligsland",52.640953,6.197435,0,,,0,,
CXX:16180140,16180140,"Staphorst, Jan Arendsland",52.642557,6.200656,0,,,0,,
