pointref,userstopcodebegin,pointref,userstopcodeend,distance
4462,ARR:10000030,4414,ARR:23291002,62493
4462,ARR:10000030,4422,ARR:24002030,57649
4527,ARR:10001110,4493,ARR:10003340,2670
4569,ARR:10001143,4550,ARR:21704719,34662
4402,ARR:10002010,4434,ARR:10006900,518
4589,ARR:10003330,4484,ARR:10001000,2519
4493,ARR:10003340,4496,ARR:12208050,25526
4482,ARR:10004780,4484,ARR:10001000,1981
4393,ARR:10006410,4369,ARR:10006460,404
4409,ARR:10006420,4442,ARR:10006540,287
4335,ARR:10006450,4409,ARR:10006420,382
4369,ARR:10006460,4433,ARR:10125881,6905
4442,ARR:10006540,4401,ARR:10002011,423
4434,ARR:10006900,4393,ARR:10006410,246
4477,ARR:10125851,4461,ARR:10000031,4727
4477,ARR:10125851,4335,ARR:10006450,6557
4553,ARR:10125860,4482,ARR:10004780,2881
4433,ARR:10125881,4422,ARR:24002030,53012
5711,ARR:10380110,6487,ARR:10380400,976
5737,ARR:10380200,6311,ARR:10380410,759
5540,ARR:10380210,6178,ARR:21910201,7394
6487,ARR:10380400,5540,ARR:10380210,651
6487,ARR:10380400,6178,ARR:21910201,7693
6487,ARR:10380400,6343,ARR:21910210,7678
6311,ARR:10380410,5524,ARR:10380100,943
4523,ARR:12208030,4589,ARR:10003330,25189
4496,ARR:12208050,4532,ARR:18920660,10755
4512,ARR:18000030,4558,ARR:18008117,651
4526,ARR:18008107,4546,ARR:18000019,700
4558,ARR:18008117,4530,ARR:18009510,239
4530,ARR:18009510,4572,ARR:18920635,19426
4548,ARR:18009520,4526,ARR:18008107,197
4572,ARR:18920635,4523,ARR:12208030,10358
4532,ARR:18920660,4548,ARR:18009520,19549
7893,ARR:20000010,5912,ARR:20002740,759
7893,ARR:20000010,6582,ARR:20004050,812
7893,ARR:20000010,6720,ARR:21421310,19531
5847,ARR:20000020,5546,ARR:20005731,349
5664,ARR:20000030,5912,ARR:20002740,749
5664,ARR:20000030,6582,ARR:20004050,802
6234,ARR:20000040,5912,ARR:20002740,745
6234,ARR:20000040,5530,ARR:20002760,745
6035,ARR:20000050,5975,ARR:20007040,493
6588,ARR:20000060,5975,ARR:20007040,487
6400,ARR:20000070,5464,ARR:20003700,701
6249,ARR:20000100,5409,ARR:20001710,294
6421,ARR:20000110,7339,ARR:20000620,156
8029,ARR:20000120,5912,ARR:20002740,823
6058,ARR:20000130,5911,ARR:20001050,131
5488,ARR:20000140,5603,ARR:20001701,474
5683,ARR:20000150,5874,ARR:20004100,672
7744,ARR:20000160,7651,ARR:20004850,372
7913,ARR:20000170,7424,ARR:20000960,206
7396,ARR:20000180,5619,ARR:20003360,311
6274,ARR:20000210,7890,ARR:20004060,626
6089,ARR:20000220,6647,ARR:20003870,262
7188,ARR:20000240,5828,ARR:20007100,647
6812,ARR:20000260,5872,ARR:20003610,323
6830,ARR:20000310,7376,ARR:20001371,563
7010,ARR:20000320,7271,ARR:20006360,343
7570,ARR:20000350,7882,ARR:20005820,383
7570,ARR:20000350,7372,ARR:20005870,450
7739,ARR:20000360,6133,ARR:20003110,154
7278,ARR:20000400,5962,ARR:20001980,388
7077,ARR:20000410,6480,ARR:20005760,408
6354,ARR:20000450,7479,ARR:20000500,239
6902,ARR:20000460,7688,ARR:20003550,564
7479,ARR:20000500,7771,ARR:20001010,283
7653,ARR:20000510,6902,ARR:20000460,336
5778,ARR:20000550,7375,ARR:20001370,424
7821,ARR:20000560,6577,ARR:20004960,229
7339,ARR:20000620,7630,ARR:20006120,355
7142,ARR:20000630,6249,ARR:20000100,239
6596,ARR:20000660,5577,ARR:20004730,314
6596,ARR:20000660,7070,ARR:20006311,476
6406,ARR:20000670,6164,ARR:20007050,232
6536,ARR:20000680,6406,ARR:20000670,297
7871,ARR:20000700,6424,ARR:20005950,257
5445,ARR:20000710,7942,ARR:20000950,437
5825,ARR:20000730,5892,ARR:20005340,293
5919,ARR:20000830,6676,ARR:20004540,368
6468,ARR:20000840,5888,ARR:20004240,470
6291,ARR:20000850,7221,ARR:20002770,462
6829,ARR:20000860,7255,ARR:20006560,423
6642,ARR:20000870,6855,ARR:20006301,442
6838,ARR:20000880,6724,ARR:20006150,266
5940,ARR:20000900,5938,ARR:20001180,206
6127,ARR:20000910,6471,ARR:20003860,268
7942,ARR:20000950,7396,ARR:20000180,172
7424,ARR:20000960,7871,ARR:20000700,418
7602,ARR:20001000,7653,ARR:20000510,133
7771,ARR:20001010,7302,ARR:20007210,381
5911,ARR:20001050,6182,ARR:20004900,271
6102,ARR:20001060,5488,ARR:20000140,152
7867,ARR:20001170,6127,ARR:20000910,261
5938,ARR:20001180,5492,ARR:20001440,205
5938,ARR:20001180,8034,ARR:20001680,275
6640,ARR:20001250,5814,ARR:20003350,139
6105,ARR:20001260,5738,ARR:20002410,375
6450,ARR:20001300,7493,ARR:20006590,204
6278,ARR:20001310,6878,ARR:20001910,278
7375,ARR:20001370,7922,ARR:20004470,425
7376,ARR:20001371,5660,ARR:20003770,875
7886,ARR:20001380,7010,ARR:20000320,353
7886,ARR:20001380,7821,ARR:20000560,222
7650,ARR:20001400,6089,ARR:20000220,449
7650,ARR:20001400,7014,ARR:20003850,306
6426,ARR:20001410,6033,ARR:20001501,414
5492,ARR:20001440,6961,ARR:20001640,118
7707,ARR:20001480,6089,ARR:20000220,234
6034,ARR:20001500,7650,ARR:20001400,228
7727,ARR:20001550,6553,ARR:20005430,256
7558,ARR:20001560,7437,ARR:20001960,227
7380,ARR:20001570,5785,ARR:20006670,101
6012,ARR:20001610,7867,ARR:20001170,270
6012,ARR:20001610,6471,ARR:20003860,799
6961,ARR:20001640,6272,ARR:20004220,177
6211,ARR:20001660,6812,ARR:20000260,337
8034,ARR:20001680,5507,ARR:20004460,282
5604,ARR:20001700,6058,ARR:20000130,288
5409,ARR:20001710,5555,ARR:20005260,269
5988,ARR:20001720,6421,ARR:20000110,384
7330,ARR:20001750,7126,ARR:20004950,160
7847,ARR:20001760,7117,ARR:20003210,281
7680,ARR:20001770,6963,ARR:20003510,368
6778,ARR:20001780,6518,ARR:20006520,225
7052,ARR:20001900,6450,ARR:20001300,272
6878,ARR:20001910,6484,ARR:20005160,372
7649,ARR:20001950,7727,ARR:20001550,210
7437,ARR:20001960,5425,ARR:20002160,387
7252,ARR:20001970,7077,ARR:20000410,437
5962,ARR:20001980,6758,ARR:20002000,511
5962,ARR:20001980,5569,ARR:20006420,1082
7492,ARR:20001990,7252,ARR:20001970,521
6758,ARR:20002000,5591,ARR:20002080,435
6391,ARR:20002020,5569,ARR:20006420,658
6221,ARR:20002030,6290,ARR:20004350,358
7491,ARR:20002040,7252,ARR:20001970,566
7491,ARR:20002040,6221,ARR:20002030,344
7315,ARR:20002050,7492,ARR:20001990,371
5591,ARR:20002080,6323,ARR:20005080,589
6969,ARR:20002100,5929,ARR:20002400,312
7153,ARR:20002110,5963,ARR:20006080,292
7860,ARR:20002150,7649,ARR:20001950,394
7860,ARR:20002150,7422,ARR:20003070,429
5425,ARR:20002160,6910,ARR:20006160,298
6344,ARR:20002200,6370,ARR:20005420,284
6172,ARR:20002210,7757,ARR:20004280,488
6172,ARR:20002210,7863,ARR:21100210,4465
6884,ARR:20002250,7044,ARR:20005680,166
7442,ARR:20002260,6314,ARR:20003100,193
7497,ARR:20002280,6359,ARR:20003320,259
6551,ARR:20002300,8033,ARR:20003010,309
6003,ARR:20002350,6941,ARR:20003200,278
5430,ARR:20002360,6389,ARR:20004910,255
5625,ARR:20002370,5964,ARR:20004750,145
7992,ARR:20002380,5734,ARR:20006700,207
5565,ARR:20002390,7571,ARR:20003880,304
5929,ARR:20002400,6640,ARR:20001250,295
5738,ARR:20002410,7153,ARR:20002110,187
7966,ARR:20002430,6334,ARR:20006680,82
7786,ARR:20002440,7966,ARR:20002430,112
6672,ARR:20002530,6166,ARR:20003020,113
7999,ARR:20002540,6658,ARR:20002650,292
5573,ARR:20002550,6658,ARR:20002650,294
5573,ARR:20002550,6119,ARR:20005740,400
5766,ARR:20002560,7221,ARR:20002770,357
5954,ARR:20002570,7221,ARR:20002770,357
7410,ARR:20002610,5440,ARR:20003410,293
7752,ARR:20002630,6059,ARR:20005970,484
6658,ARR:20002650,6795,ARR:20004150,477
7226,ARR:20002660,5766,ARR:20002560,364
7226,ARR:20002660,5954,ARR:20002570,364
7772,ARR:20002700,7922,ARR:20004470,191
5912,ARR:20002740,6829,ARR:20000860,506
5912,ARR:20002740,6496,ARR:20002520,171
5912,ARR:20002740,7999,ARR:20002540,439
5912,ARR:20002740,5573,ARR:20002550,437
5530,ARR:20002760,7999,ARR:20002540,439
7221,ARR:20002770,7610,ARR:20006740,292
6993,ARR:20002810,7571,ARR:20003880,273
7388,ARR:20002900,7047,ARR:20004530,630
7388,ARR:20002900,6006,ARR:20004800,513
7566,ARR:20002910,7889,ARR:20003710,446
5860,ARR:20002960,6794,ARR:20003660,290
8033,ARR:20003010,5511,ARR:20004260,267
