stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
EBS:36380010,36380010,"De Rijp, Julianalaan",52.554482,4.844361,0,,,0,,
EBS:36380020,36380020,"De Rijp, Grote Dam",52.559845,4.84981,0,,,0,,
EBS:36380030,36380030,"De Rijp, Bernhardstraat",52.556559,4.846665,0,,,0,,
EBS:36380040,36380040,"De Rijp, Oosteinde",52.559646,4.857643,0,,,0,,
EBS:36380050,36380050,"De Rijp, Oosteinde",52.559538,4.857556,0,,,0,,
EBS:36380070,36380070,"De Rijp, Grote Dam",52.559461,4.850287,0,,,0,,
EBS:36380520,36380520,"De Rijp, Julianalaan",52.554715,4.844343,0,,,1,,
EBS:36380540,36380540,"De Rijp, Fluytschip",52.556841,4.843403,0,,,1,,
EBS:36380561,36380561,"De Rijp, Wollandje",52.560005,4.843496,0,stoparea:EBS:drpwol,,1,,
EBS:36380562,36380562,"De Rijp, Wollandje",52.559626,4.843147,0,stoparea:EBS:drpwol,,0,,
EBS:36380630,36380630,"De Rijp, Fluytschip",52.556149,4.843426,0,,,1,,
EBS:36470011,36470011,"Westbeemster, Kerkplein",52.574979,4.899693,0,stoparea:EBS:wbsker,,0,,
EBS:36470070,36470070,"Middenbeemster, K.Hogetoornlaan",52.544952,4.910772,0,stoparea:EBS:mbshog,,0,,
EBS:36470071,36470071,"Middenbeemster, K.Hogetoornlaan",52.544952,4.910772,0,stoparea:EBS:mbshog,,0,,
EBS:36470080,36470080,"Middenbeemster, De Buurt",52.547808,4.912495,0,stoparea:EBS:mbsbuu,,0,,
EBS:36470081,36470081,"Middenbeemster, De Buurt",52.547808,4.912495,0,,,0,,
EBS:36470090,36470090,"Middenbeemster, Insulindeweg",52.550146,4.903786,0,stoparea:EBS:mbsins,,0,,
EBS:36470091,36470091,"Middenbeemster, Insulindeweg",52.550146,4.903786,0,stoparea:EBS:mbsins,,0,,
EBS:36470100,36470100,"Middenbeemster, De Buurt",52.548016,4.912729,0,stoparea:EBS:mbsbuu,,0,,
EBS:36470110,36470110,"Middenbeemster, N. Cromhoutlaan",52.549202,4.908116,0,,,0,,
EBS:36470111,36470111,"Middenbeemster, N. Cromhoutlaan",52.549202,4.908116,0,,,0,,
EBS:36470120,36470120,"Middenbeemster, Insulindeweg",52.550511,4.902971,0,stoparea:EBS:mbsins,,0,,
EBS:36470180,36470180,"Westbeemster, Blikken Schel",52.554023,4.887259,0,,,0,,
EBS:36470190,36470190,"Westbeemster, Blikken Schel",52.553739,4.888029,0,,,0,,
EBS:36470220,36470220,"Middenbeemster, Nekkerweg",52.542437,4.9386,0,stoparea:EBS:bmsnek,,0,,
EBS:36470230,36470230,"Middenbeemster, Nekkerweg",52.542356,4.938689,0,stoparea:EBS:bmsnek,,0,,
EBS:36470240,36470240,"Middenbeemster, Groenveld",52.546642,4.919849,0,stoparea:EBS:mbsgro,,0,,
EBS:36470250,36470250,"Middenbeemster, Groenveld",52.546534,4.919836,0,stoparea:EBS:mbsgro,,0,,
EBS:36470280,36470280,"Westbeemster, Klaterbuurt",52.560231,4.859848,0,,,0,,
EBS:36470290,36470290,"Westbeemster, Klaterbuurt",52.560132,4.859775,0,,,0,,
EBS:36470330,36470330,"Middenbeemster, K.Hogetoornlaan",52.545195,4.910636,0,stoparea:EBS:mbshog,,1,,
EBS:36470340,36470340,"Middenbeemster, K.Hogetoornlaan",52.545113,4.910578,0,stoparea:EBS:mbshog,,0,,
EBS:36470350,36470350,"Middenbeemster, Westerhem",52.547415,4.906411,0,,,0,,
EBS:36470360,36470360,"Middenbeemster, Westerhem",52.547487,4.906292,0,,,0,,
EBS:36470370,36470370,"Middenbeemster, N. Cromhoutlaan",52.549046,4.90744,0,,,0,,
EBS:36470380,36470380,"Middenbeemster, N. Cromhoutlaan",52.549073,4.907307,0,,,0,,
EBS:36470400,36470400,"Westbeemster, Blikken Schel",52.554021,4.886773,0,,,0,,
EBS:36470420,36470420,"Middenbeemster, Prinses Beatrixpark",52.546899,4.914304,0,,,0,,
EBS:36470430,36470430,"Middenbeemster, Prinses Beatrixpark",52.546899,4.914304,0,,,0,,
EBS:36570020,36570020,"Zuidoostbeemster, W. Sluislaan",52.513672,4.941986,0,stoparea:EBS:zobslu,,0,,
EBS:36570100,36570100,"Zuidoostbeemster, Zuiderhof",52.515824,4.938237,0,stoparea:EBS:zobzui,,0,,
EBS:36570110,36570110,"Zuidoostbeemster, Zuiderhof",52.515815,4.938237,0,stoparea:EBS:zobzui,,0,,
EBS:36570160,36570160,"Zuidoostbeemster, Volgerweg",52.522318,4.946982,0,,,0,,
EBS:36570170,36570170,"Zuidoostbeemster, Volgerweg",52.522344,4.946775,0,,,0,,
EBS:36570180,36570180,"Zuidoostbeemster, Rijperwg/Purmerenderwg",52.538332,4.956447,0,,,0,,
EBS:36570190,36570190,"Zuidoostbeemster, Rijperwg/Purmerenderwg",52.538224,4.956389,0,,,0,,
EBS:36570200,36570200,"Zuidoostbeemster, Kwadijkerweg",52.533668,4.953884,0,stoparea:EBS:zobkwa,,0,,
EBS:36570210,36570210,"Zuidoostbeemster, Kwadijkerweg",52.533667,4.953663,0,stoparea:EBS:zobkwa,,0,,
EBS:36572050,36572050,"Kwadijk, Durkweg",52.527377,4.984729,0,stoparea:EBS:kwadur,,0,,
EBS:36572060,36572060,"Kwadijk, Durkweg",52.527288,4.984848,0,stoparea:EBS:kwadur,,0,,
EBS:36573050,36573050,"Zuidoostbeemster, J.J. Grootlaan",52.517466,4.940018,0,,,0,,
