stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
HTM:1001,1001,"Den Haag, Adriaan Goekooplaan",52.093321,4.28961,0,stoparea:HTM:1001,,0,,
HTM:1002,1002,"Den Haag, Adriaan Goekooplaan",52.093242,4.289758,0,stoparea:HTM:1001,,1,,
HTM:103,103,"Den Haag, Oude Waalsdorperweg",52.109249,4.326883,0,stoparea:HTM:101,,0,,
HTM:1101,1101,"Den Haag, Houtrust",52.085542,4.273794,0,stoparea:HTM:1101,,,,
HTM:1102,1102,"Den Haag, Houtrust",52.085792,4.273671,0,stoparea:HTM:1101,,1,,
HTM:1103,1103,"Den Haag, Cornelis de Wittlaan",52.087281,4.278056,0,stoparea:HTM:1103,,1,,
HTM:1104,1104,"Den Haag, Gemeentemuseum/Museon",52.088707,4.279698,0,stoparea:HTM:1518,,1,,
HTM:1105,1105,"Den Haag, Gemeentemuseum/Museon",52.088976,4.279604,0,stoparea:HTM:1518,,1,,
HTM:1106,1106,"Den Haag, Gemeentemuseum/Museon",52.088372,4.279415,0,stoparea:HTM:1106,,1,,
HTM:1107,1107,"Den Haag, Gemeentemuseum/Museon",52.088397,4.280158,0,stoparea:HTM:1106,,1,,
HTM:1108,1108,"Den Haag, Groot Hertoginnelaan",52.082587,4.276946,0,stoparea:HTM:1108,,,,
HTM:1109,1109,"Den Haag, Groot Hertoginnelaan",52.082394,4.277491,0,stoparea:HTM:1108,,1,,
HTM:1110,1110,"Den Haag, Conradkade",52.082216,4.276737,0,stoparea:HTM:1110,,0,,
HTM:1111,1111,"Den Haag, Conradkade",52.082085,4.277076,0,stoparea:HTM:1110,,0,,
HTM:1112,1112,"Den Haag, Valeriusstraat",52.083722,4.279121,0,stoparea:HTM:1112,,1,,
HTM:1113,1113,"Den Haag, Valeriusstraat",52.084293,4.279589,0,stoparea:HTM:1112,,1,,
HTM:1114,1114,"Den Haag, Groot Hertoginnelaan",52.085644,4.282751,0,stoparea:HTM:1114,,0,,
HTM:1115,1115,"Den Haag, Groot Hertoginnelaan",52.085114,4.282778,0,stoparea:HTM:1114,,0,,
HTM:1116,1116,"Den Haag, Groot Hertoginnelaan",52.08488,4.283703,0,stoparea:HTM:1114,,0,,
HTM:1117,1117,"Den Haag, Banstraat",52.085198,4.287022,0,stoparea:HTM:1117,,1,,
HTM:1118,1118,"Den Haag, Banstraat",52.085303,4.287647,0,stoparea:HTM:1117,,1,,
HTM:1119,1119,"Den Haag, Conradkade",52.0805,4.282542,0,stoparea:HTM:1119,,1,,
HTM:1120,1120,"Den Haag, Conradkade",52.080614,4.28321,0,stoparea:HTM:1119,,1,,
HTM:1121,1121,"Den Haag, Van Speijkstraat",52.08122,4.288389,0,stoparea:HTM:1121,,1,,
HTM:1122,1122,"Den Haag, Van Speijkstraat",52.081505,4.288061,0,stoparea:HTM:1121,,1,,
HTM:1123,1123,"Den Haag, Laan van Meerdervoort",52.085066,4.292118,0,stoparea:HTM:1123,,1,,
HTM:1124,1124,"Den Haag, Laan van Meerdervoort",52.084885,4.291991,0,stoparea:HTM:1123,,1,,
HTM:1125,1125,"Den Haag, Cornelis de Wittlaan",52.087576,4.277961,0,stoparea:HTM:1103,,1,,
HTM:1128,1128,"Den Haag, Conradkade",52.08046,4.282105,0,stoparea:HTM:1128,,0,,
HTM:1129,1129,"Den Haag, Conradkade",52.080467,4.282835,0,stoparea:HTM:1128,,0,,
HTM:1201,1201,"Den Haag, Kwartellaan",52.078051,4.254651,0,stoparea:HTM:1201,,1,,
HTM:1202,1202,"Den Haag, Kwartellaan",52.078228,4.255245,0,stoparea:HTM:1201,,1,,
HTM:1203,1203,"Den Haag, Nieboerweg",52.080465,4.260747,0,stoparea:HTM:1203,,1,,
HTM:1204,1204,"Den Haag, Nieboerweg",52.080159,4.259791,0,stoparea:HTM:1203,,1,,
HTM:1205,1205,"Den Haag, Sportlaan",52.080432,4.260105,0,stoparea:HTM:1205,,0,,
HTM:1206,1206,"Den Haag, Sportlaan",52.0802,4.260374,0,stoparea:HTM:1205,,0,,
HTM:1207,1207,"Den Haag, Haga Ziekenhuis",52.082351,4.265266,0,stoparea:HTM:1207,,1,,
HTM:1208,1208,"Den Haag, Haga Ziekenhuis",52.082055,4.264412,0,stoparea:HTM:1207,,1,,
HTM:1209,1209,"Den Haag, Houtrustweg",52.085159,4.27322,0,stoparea:HTM:1209,,1,,
HTM:1210,1210,"Den Haag, Houtrustweg",52.085111,4.27201,0,stoparea:HTM:1209,,1,,
HTM:1211,1211,"Den Haag, Goudenregenplein",52.07662,4.263863,0,stoparea:HTM:1211,,1,,
HTM:1212,1212,"Den Haag, Goudenregenplein",52.076496,4.264027,0,stoparea:HTM:1211,,0,,
HTM:1213,1213,"Den Haag, Zonnebloemstraat",52.071458,4.25702,0,stoparea:HTM:1213,,1,,
HTM:1214,1214,"Den Haag, Zonnebloemstraat",52.070969,4.255647,0,stoparea:HTM:1213,,1,,
HTM:1217,1217,"Den Haag, Azaleaplein",52.073136,4.261427,0,stoparea:HTM:1217,,1,,
HTM:1218,1218,"Den Haag, Azaleaplein",52.073257,4.261862,0,stoparea:HTM:1217,,1,,
HTM:12864,12864,"Den Haag, Buitenhof",52.078703,4.311779,0,stoparea:HTM:2864,,,,
HTM:1301,1301,"Den Haag, Doctor van Welylaan",52.08508,4.257449,0,stoparea:HTM:1301,,0,,
HTM:1302,1302,"Den Haag, Doctor van Welylaan",52.084387,4.258284,0,stoparea:HTM:1301,,0,,
HTM:1303,1303,"Den Haag, Kruisbeklaan",52.072945,4.242454,0,stoparea:HTM:1303,,1,,
HTM:1304,1304,"Den Haag, Kruisbeklaan",52.07332,4.243116,0,stoparea:HTM:1303,,1,,
HTM:1305,1305,"Den Haag, Oude Buizerdlaan",52.074187,4.245471,0,stoparea:HTM:1305,,1,,
HTM:1306,1306,"Den Haag, Oude Buizerdlaan",52.0746,4.246292,0,stoparea:HTM:1305,,1,,
HTM:1307,1307,"Den Haag, Vliegenvangerlaan",52.075909,4.249658,0,stoparea:HTM:1307,,1,,
HTM:1308,1308,"Den Haag, Vliegenvangerlaan",52.076045,4.249815,0,stoparea:HTM:1307,,1,,
HTM:1403,1403,"Den Haag, Muurbloemweg",52.068152,4.232207,0,stoparea:HTM:1403,,1,,
HTM:1404,1404,"Den Haag, Muurbloemweg",52.068367,4.232099,0,stoparea:HTM:1403,,1,,
HTM:1405,1405,"Den Haag, Arabislaan",52.06961,4.236005,0,stoparea:HTM:1405,,1,,
HTM:1406,1406,"Den Haag, Arabislaan",52.069814,4.236627,0,stoparea:HTM:1405,,1,,
HTM:1407,1407,"Den Haag, De Savornin Lohmanlaan",52.071147,4.2397,0,stoparea:HTM:1407,,1,,
