stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
QBUZZ:10001080,10001080,"Groningen, De Trefkoel",53.230923,6.542737,0,stoparea:QBUZZ:gngtre,,1,,
QBUZZ:10001090,10001090,"Groningen, De Trefkoel",53.230264,6.54218,0,stoparea:QBUZZ:gngtre,,1,,
QBUZZ:10001100,10001100,"Groningen, De Trefkoel",53.231122,6.541724,0,stoparea:QBUZZ:gngtre,,1,,
QBUZZ:10001101,10001101,"Groningen, De Trefkoel",53.231113,6.541739,0,stoparea:QBUZZ:gngtre,,1,,
QBUZZ:10001130,10001130,"Groningen, Maluslaan",53.236485,6.550315,0,,,0,,
QBUZZ:10001140,10001140,"Groningen, Maluslaan",53.236806,6.550548,0,,,0,,
QBUZZ:10001150,10001150,"Groningen, Bottelroosstraat",53.237752,6.554004,0,stoparea:QBUZZ:gngsel,,1,,
QBUZZ:10001160,10001160,"Groningen, Bottelroosstraat",53.237786,6.554185,0,stoparea:QBUZZ:gngsel,,0,,
QBUZZ:10001170,10001170,"Groningen, Beukenlaan",53.2355,6.555471,0,,,1,,
QBUZZ:10001180,10001180,"Groningen, Beukenlaan",53.235455,6.555485,0,,,1,,
QBUZZ:10001190,10001190,"Groningen, Eikenlaan",53.234046,6.556225,0,,,1,,
QBUZZ:10001200,10001200,"Groningen, Iepenlaan",53.233272,6.557193,0,,,0,,
QBUZZ:10001210,10001210,"Groningen, St. Eustatiusstraat",53.233461,6.575485,0,,,0,,
QBUZZ:10001230,10001230,"Groningen, v. Oldenbarneveltlaan",53.232525,6.560153,0,,,0,,
QBUZZ:10001240,10001240,"Groningen, v. Oldenbarneveltlaan",53.232951,6.558787,0,,,0,,
QBUZZ:10001250,10001250,"Groningen, Iepenlaan",53.233964,6.556283,0,,,1,,
QBUZZ:10001290,10001290,"Groningen, Curacaostraat",53.23657,6.567363,0,stoparea:QBUZZ:gngsoe,,1,,
QBUZZ:10001300,10001300,"Groningen, Curacaostraat",53.23634,6.567012,0,stoparea:QBUZZ:gngsoe,,1,,
QBUZZ:10001310,10001310,"Groningen, Arubastraat",53.236102,6.570106,0,,,1,,
QBUZZ:10001320,10001320,"Groningen, Arubastraat",53.236121,6.570046,0,,,0,,
