stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
RET:HA0101,HA0101,"Rotterdam, Kromme Zandweg",51.883122,4.464802,0,stoparea:RET:383,,1,,
RET:HA0103,HA0103,"Rotterdam, Frans Bekkerstraat",51.890933,4.469465,0,stoparea:RET:10322,,1,,
RET:HA0104,HA0104,"Rotterdam, Frans Bekkerstraat",51.890743,4.469193,0,stoparea:RET:10322,,1,,
RET:HA0105,HA0105,"Rotterdam, Dorpsweg",51.891258,4.473003,0,stoparea:RET:10321,,1,,
RET:HA0106,HA0106,"Rotterdam, Dorpsweg",51.891417,4.472694,0,stoparea:RET:10321,,1,,
RET:HA0107,HA0107,"Rotterdam, Pleinweg",51.891417,4.478506,0,stoparea:RET:559,,1,,
RET:HA0108,HA0108,"Rotterdam, Pleinweg",51.891378,4.4781,0,stoparea:RET:559,,1,,
RET:HA0109,HA0109,"Rotterdam, Brielselaan",51.894472,4.484139,0,stoparea:RET:123,,1,,
RET:HA0110,HA0110,"Rotterdam, Brielselaan",51.894326,4.483924,0,stoparea:RET:123,,1,,
RET:HA0111,HA0111,"Rotterdam, Maashaven",51.897019,4.493924,0,stoparea:RET:432,,1,,
RET:HA0112,HA0112,"Rotterdam, Maashaven",51.896973,4.493823,0,stoparea:RET:432,,1,,
RET:HA0113,HA0113,"Rotterdam, Putsebocht",51.897406,4.502344,0,stoparea:RET:576,,1,,
RET:HA0114,HA0114,"Rotterdam, Putsebocht",51.897557,4.502108,0,stoparea:RET:576,,1,,
RET:HA0115,HA0115,"Rotterdam, Hillevliet",51.895569,4.505489,0,stoparea:RET:286,,1,,
RET:HA0116,HA0116,"Rotterdam, Hillevliet",51.895179,4.506267,0,stoparea:RET:286,,1,,
RET:HA0117,HA0117,"Rotterdam, Randweg",51.893551,4.509698,0,stoparea:RET:583,,1,,
RET:HA0118,HA0118,"Rotterdam, Randweg",51.893543,4.509785,0,stoparea:RET:583,,1,,
RET:HA0119,HA0119,"Rotterdam, Breeplein",51.890821,4.513645,0,stoparea:RET:121,,1,,
RET:HA0120,HA0120,"Rotterdam, Breeplein",51.890228,4.514862,0,stoparea:RET:121,,1,,
RET:HA0122,HA0122,"Rotterdam, Kerstendijk",51.881589,4.544369,0,stoparea:RET:345,,1,,
RET:HA0124,HA0124,"Rotterdam, Kerstendijk",51.881596,4.544093,0,stoparea:RET:345,,1,,
RET:HA0125,HA0125,"Rotterdam, Smeetslandsedijk",51.882112,4.521149,0,stoparea:RET:666,,1,,
RET:HA0126,HA0126,"Rotterdam, Smeetslandsedijk",51.882653,4.521327,0,stoparea:RET:666,,1,,
RET:HA0130,HA0130,"Rotterdam, Grote Hagen",51.887175,4.553677,0,stoparea:RET:251,,0,,
RET:HA0131,HA0131,"Rotterdam, Station Lombardijen",51.880809,4.533447,0,stoparea:RET:701,,1,,
RET:HA0132,HA0132,"Rotterdam, Station Lombardijen",51.880615,4.532768,0,stoparea:RET:701,,1,,
RET:HA0133,HA0133,"Rotterdam, Kreekhuizenlaan",51.882433,4.539269,0,stoparea:RET:379,,1,,
RET:HA0134,HA0134,"Rotterdam, Kreekhuizenlaan",51.882801,4.539117,0,stoparea:RET:379,,0,,
