stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
VTN:15000101,15000101,"Aachen, Bushof",50.777442,6.088669,0,stoparea:VTN:AacBus,,1,,
VTN:15000102,15000102,"Aachen, Bushof",50.777125,6.089146,0,stoparea:VTN:AacBus,,0,,
VTN:15000201,15000201,"Aachen, Driescher Gäßchen",50.779095,6.081506,0,stoparea:VTN:AacDri,,0,,
VTN:15000202,15000202,"Aachen, Driescher Gäßchen",50.779688,6.081415,0,stoparea:VTN:AacDri,,0,,
VTN:15000301,15000301,"Aachen, Elisenbrunnen",50.774384,6.087531,0,stoparea:VTN:AacEli,,0,,
VTN:15000302,15000302,"Aachen, Elisenbrunnen",50.774106,6.087442,0,stoparea:VTN:AacEli,,0,,
VTN:15000401,15000401,"Aachen, Hauptbahnhof",50.768704,6.090365,0,stoparea:VTN:AacHau,,0,,
VTN:15000402,15000402,"Aachen, Haubtbahnhof",50.768931,6.089986,0,stoparea:VTN:AacHBH,,0,,
VTN:15000403,15000403,"Aachen, Haupbtbahnhof",50.767506,6.095067,0,stoparea:VTN:AacHBH,,0,,
VTN:15000501,15000501,"Aachen, Ponttor",50.780823,6.078001,0,stoparea:VTN:AacPon,,0,,
VTN:15000502,15000502,"Aachen, Ponttor",50.781161,6.078743,0,stoparea:VTN:AacPon,,0,,
VTN:15000601,15000601,"Aachen, Schanz",50.768961,6.074423,0,stoparea:VTN:AacSch,,1,,
VTN:15000602,15000602,"Aachen, Schanz",50.770675,6.073442,0,stoparea:VTN:AacSch,,1,,
VTN:15000702,15000702,"Aachen, Theater",50.772303,6.088237,0,stoparea:VTN:AacThe,,0,,
VTN:15000901,15000901,"Aalbeek, Klooster",50.899059,5.852603,0,stoparea:VTN:AalKlo,,0,,
VTN:15000902,15000902,"Aalbeek, Klooster",50.899653,5.852481,0,stoparea:VTN:AalKlo,,0,,
VTN:15001001,15001001,"Ubach over Worms, Bernadettelaan",50.922433,6.035161,0,stoparea:VTN:AbdBer,,1,,
VTN:15001002,15001002,"Ubach over Worms, Bernadettelaan",50.923085,6.034288,0,stoparea:VTN:AbdBer,,1,,
VTN:15001101,15001101,"Ubach over Worms, Reeweg / Sperwerweg",50.921804,6.030274,0,stoparea:VTN:AbdRee,,0,,
VTN:15001102,15001102,"Ubach over Worms, Reeweg / Sperwerweg",50.921698,6.029945,0,stoparea:VTN:AbdRee,,0,,
VTN:15001201,15001201,"Ubach over Worms, Reeweg / Vogelzankweg",50.920185,6.027293,0,stoparea:VTN:AbdReV,,0,,
VTN:15001202,15001202,"Ubach over Worms, Reeweg / Vogelzankweg",50.92023,6.027237,0,stoparea:VTN:AbdReV,,0,,
VTN:15001301,15001301,"Amstenrade, Allee",50.938424,5.926665,0,stoparea:VTN:AmsAll,,0,,
VTN:15001302,15001302,"Amstenrade, Allee",50.938693,5.926625,0,stoparea:VTN:AmsAll,,0,,
VTN:15001401,15001401,"Amstenrade, Raadhuisplein",50.940475,5.924427,0,stoparea:VTN:AmsRaa,,1,,
VTN:15001402,15001402,"Amstenrade, Raadhuisplein",50.940609,5.924471,0,stoparea:VTN:AmsRaa,,0,,
VTN:15001501,15001501,"Arensgenhout, Diepestraat / Mesweg",50.889519,5.84209,0,stoparea:VTN:AreDie,,1,,
VTN:15001502,15001502,"Arensgenhout, Diepestraat / Mesweg",50.889357,5.84216,0,stoparea:VTN:AreDie,,1,,
VTN:15001601,15001601,"Arensgenhout, Ravensbos",50.891659,5.837279,0,stoparea:VTN:AreRav,,0,,
VTN:15001602,15001602,"Arensgenhout, Ravensbos",50.891542,5.837349,0,stoparea:VTN:AreRav,,0,,
VTN:15002001,15002001,"Sittard, Sportcentrumlaan",51.007725,5.881184,0,stoparea:VTN:SitSpo,,1,,
VTN:15002002,15002002,"Sittard, Sportcentrumlaan",51.007766,5.882068,0,stoparea:VTN:SitSpo,,1,,
VTN:15002101,15002101,"Bocholtz, Baneheiderweg",50.817753,5.980373,0,stoparea:VTN:BnhBan,,1,,
VTN:15002102,15002102,"Bocholtz, Baneheiderweg",50.817603,5.981719,0,stoparea:VTN:BnhBan,,0,,
VTN:15002201,15002201,"Banholt, Bergstraat",50.794699,5.805463,0,stoparea:VTN:BanBer,,0,,
VTN:15002202,15002202,"Banholt, Bergstraat",50.794714,5.806286,0,stoparea:VTN:BanBer,,0,,
VTN:15002501,15002501,"Banholt, Kerk",50.789784,5.809829,0,stoparea:VTN:BanKer,,0,,
VTN:15002502,15002502,"Banholt, Kerk",50.789792,5.809985,0,stoparea:VTN:BanKer,,0,,
VTN:15002601,15002601,"Banholt, Mheerderweg 36",50.787914,5.804877,0,stoparea:VTN:BanMhe,,0,,
VTN:15002602,15002602,"Banholt, Mheerderweg 36",50.787733,5.805103,0,stoparea:VTN:BanMhe,,0,,
VTN:15003101,15003101,"Beek, Bedrijvenpark",50.924624,5.777056,0,stoparea:VTN:BeeBed,,0,,
VTN:15003102,15003102,"Beek, Bedrijvenpark",50.925587,5.776709,0,stoparea:VTN:BeeBed,,0,,
VTN:15003201,15003201,"Beek, Centrum",50.94129,5.795009,0,stoparea:VTN:BeekCe,,1,,
VTN:15003202,15003202,"Beek, Centrum",50.941748,5.795355,0,stoparea:VTN:BeekCe,,1,,
VTN:15003301,15003301,"Beek, Station",50.946644,5.785794,0,stoparea:VTN:BeekSt,,0,,
VTN:15003401,15003401,"Beek, Pr.Mauritslaan/Kenn.ln",50.946275,5.8013,0,stoparea:VTN:BeePrM,,0,,
